Unique Identifier,gender,role,lgbtqplus,ethnicity,Organization,Source,Publish,Write,Research,Discuss,Share,Integrate,Responsible,Ethics,Standards,Practices,Morals,Responsible_oe,Ethics_oe,Standards_oe,Practices_oe,Morals_oe
31,Male,Postdoc,No,White (Non-Hispanic/Latino),Extensive,Good,Good,Slight,Extensive,Sometimes,Never,Always,Somewhat useful,Somewhat useful,Extremely useful,Extremely useful,Somewhat useful,NA,NA,NA,NA,NA
32,Male,Undergraduate student,No,White (Non-Hispanic/Latino),Moderate,Moderate,Slight,Good,Moderate,Sometimes,Never,Always,Somewhat useful,Not at all useful,Not at all useful,Extremely useful,Not at all useful,NA,as of whose it the in is added charm leave say apartment did into north all the he of on to you,age sentiments be any any wickham's take she you me as officers very house,NA,by mr their his _he_ a real to that all astonished entered pitiable she on containing continued to must been to rise in might only charlotte
33,Female,Graduate student,No,Asian,Good,Extensive,Minimal,Moderate,Extensive,Always,Rarely,Frequently,Extremely useful,Somewhat useful,Very useful,Not at all useful,Extremely useful,NA,NA,NA,are written in more of afraid such of they to was insensible _him_ aunt's would lambton myself for but family your for of could had hertfordshire the with,NA
34,Female,Graduate student,No,Hispanic/Latino,Moderate,Moderate,Minimal,Slight,Slight,Always,Never,Frequently,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,NA,NA,NA,NA,NA
35,Female,Graduate student,No,Hispanic/Latino,Moderate,Extensive,Slight,Minimal,Good,Frequently,Rarely,Rarely,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Extremely useful,NA,NA,NA,NA,NA
36,Male,Undergraduate student,Yes,White (Non-Hispanic/Latino),Moderate,Good,Good,Slight,Good,Sometimes,Rarely,Frequently,Very useful,Somewhat useful,Very useful,Not at all useful,Very useful,NA,NA,NA,it had on involuntarily despair sitting that as longbourn were had all do so you never proficient seen say of suppose her,NA
37,Male,Undergraduate student,No,White (Non-Hispanic/Latino),Extensive,Moderate,Minimal,Moderate,Good,Always,Never,Rarely,Slightly useful,Very useful,Extremely useful,Somewhat useful,Extremely useful,NA,NA,NA,NA,NA
38,Female,Undergraduate student,No,White (Non-Hispanic/Latino),Moderate,Extensive,Good,Moderate,Extensive,Sometimes,Never,Sometimes,Somewhat useful,Somewhat useful,Very useful,Slightly useful,Very useful,NA,NA,NA,NA,NA
39,Female,Undergraduate student,No,Asian,Minimal,Good,Good,Moderate,Good,Always,Frequently,Always,Somewhat useful,Somewhat useful,Extremely useful,Extremely useful,Very useful,NA,NA,NA,NA,NA
40,Female,Graduate student,No,Black,Moderate,Moderate,Minimal,Extensive,Good,Frequently,Never,Sometimes,Somewhat useful,Very useful,Somewhat useful,Not at all useful,Somewhat useful,NA,NA,NA,benefiting house bed other lady she on mind hunsford existence love to own it of am long with be from,NA
41,Male,Undergraduate student,Yes,White (Non-Hispanic/Latino),Extensive,Moderate,Minimal,Good,Good,Rarely,Sometimes,Never,Not at all useful,Slightly useful,Somewhat useful,Slightly useful,Somewhat useful,hertfordshire speak liked him and her humour of the to but character your rather mind these mrs aunt check hoped most was him at of of surprised was some,NA,NA,NA,NA
42,Male,Faculty,No,Asian,Moderate,Good,Minimal,Extensive,Moderate,Frequently,Rarely,Frequently,Very useful,Slightly useful,Extremely useful,Extremely useful,Not at all useful,NA,NA,NA,NA,me but had reliance listen live friend grove she such give of she from sitting the is he were about and of i did by with bingley letting i must
43,Male,Undergraduate student,Prefer not to disclose,Black,Moderate,Moderate,Moderate,Good,Good,Always,Never,Frequently,Somewhat useful,Slightly useful,Extremely useful,Not at all useful,Slightly useful,NA,NA,NA,leads of thousand angry mrs elizabeth man her it doubt say surprise of you nothing obtained there you those,NA
44,Female,Postdoc,No,Hispanic/Latino,Slight,Good,Minimal,Slight,Slight,Frequently,Frequently,Rarely,Not at all useful,Extremely useful,Extremely useful,Slightly useful,Extremely useful,uncle to this natured for approve first girl and ladyship sweet have they they him particular dependence would him were,NA,NA,NA,NA
45,Male,Undergraduate student,Yes,White (Non-Hispanic/Latino),Minimal,Extensive,Minimal,Moderate,Good,Sometimes,Never,Always,Slightly useful,Not at all useful,Very useful,Extremely useful,Very useful,NA,hopes his do had the meryton success there the of jane feeling account charge colonel that when the bennet will fancy is,NA,NA,NA
46,Female,Undergraduate student,No,Asian,Moderate,Moderate,Good,Slight,Extensive,Frequently,Never,Frequently,Not at all useful,Slightly useful,Somewhat useful,Not at all useful,Very useful,however he his a i was woods she meeting of offered to gentlewoman the their arrival she the i she on a with will and he equally had noon more causes admiring would honour,NA,NA,saw not families the be had of is confined for whom blame,NA
47,Male,Postdoc,No,White (Non-Hispanic/Latino),Minimal,Extensive,Slight,Extensive,Extensive,Sometimes,Never,Always,Very useful,Slightly useful,Somewhat useful,Extremely useful,Very useful,NA,NA,NA,NA,NA
48,Male,Faculty,Yes,Asian,Slight,Extensive,Minimal,Extensive,Minimal,Frequently,Frequently,Always,Somewhat useful,Not at all useful,Somewhat useful,Very useful,Extremely useful,NA,every having the for herself property letter the have you but separate was take did how the at discomposure her their once one her spiteful,NA,NA,NA
49,Male,Undergraduate student,No,Asian,Moderate,Good,Slight,Moderate,Extensive,Always,Never,Always,Very useful,Extremely useful,Somewhat useful,Very useful,Very useful,NA,NA,NA,NA,NA
50,Female,Faculty,No,White (Non-Hispanic/Latino),Moderate,Extensive,Minimal,Moderate,Moderate,Always,Rarely,Never,Slightly useful,Very useful,Very useful,Very useful,Not at all useful,NA,NA,NA,NA,i was all hers not you moved as soon she wrote did why not get concern the and five to of
51,Male,Graduate student,No,Hispanic/Latino,Moderate,Good,Slight,Slight,Extensive,Always,Never,Sometimes,Not at all useful,Extremely useful,Not at all useful,Very useful,Somewhat useful,_us_ shopping for at tone in sunk again seen happy and even she at that i yes it prevent borne felt not,NA,replied in is was was deeper great the with in in intricate,NA,NA
52,Male,Undergraduate student,No,White (Non-Hispanic/Latino),Moderate,Extensive,Moderate,Moderate,Moderate,Always,Never,Sometimes,Somewhat useful,Very useful,Extremely useful,Very useful,Slightly useful,NA,NA,NA,NA,NA
53,Male,Undergraduate student,No,Hispanic/Latino,Slight,Moderate,Minimal,Extensive,Extensive,Frequently,Always,Frequently,Somewhat useful,Slightly useful,Extremely useful,Somewhat useful,Very useful,NA,NA,NA,NA,NA
54,Male,Graduate student,No,Hispanic/Latino,Slight,Extensive,Slight,Moderate,Good,Sometimes,Sometimes,Frequently,Somewhat useful,Somewhat useful,Extremely useful,Somewhat useful,Very useful,NA,NA,NA,NA,NA
55,Male,Postdoc,No,Prefer not to specify,Moderate,Extensive,Slight,Moderate,Extensive,Always,Rarely,Frequently,Slightly useful,Somewhat useful,Somewhat useful,Extremely useful,Extremely useful,NA,NA,NA,NA,NA
56,Female,Postdoc,No,Black,Moderate,Extensive,Minimal,Good,Extensive,Never,Never,Frequently,Slightly useful,Slightly useful,Extremely useful,Not at all useful,Extremely useful,NA,NA,NA,on which a possession attachment reflect no could afterwards to can i as regret to,NA
57,Male,Postdoc,Prefer not to disclose,Asian,Good,Slight,Minimal,Moderate,Moderate,Rarely,Never,Never,Somewhat useful,Somewhat useful,Extremely useful,Not at all useful,Extremely useful,NA,NA,NA,she before man's every of class a engaging to very her could it he jane's by you importance consideration the it well till it she many forming and telling be as longer do mr of he,NA
58,Female,Postdoc,No,Asian,Good,Moderate,Slight,Extensive,Extensive,Always,Rarely,Rarely,Very useful,Very useful,Very useful,Not at all useful,Somewhat useful,NA,NA,NA,let inquired and pemberley calm downstairs family cannot divide be town 28 come that to me he in was was their certainly much the must judgement and,NA
59,Female,Undergraduate student,Prefer not to disclose,Prefer not to specify,Good,Extensive,Minimal,Good,Extensive,Frequently,Never,Always,Extremely useful,Slightly useful,Very useful,Extremely useful,Very useful,NA,NA,NA,NA,NA
60,Female,Undergraduate student,No,White (Non-Hispanic/Latino),Moderate,Extensive,Minimal,Good,Extensive,Frequently,Never,Sometimes,Slightly useful,Extremely useful,Somewhat useful,Very useful,Slightly useful,NA,NA,NA,NA,NA
61,Female,Postdoc,No,White (Non-Hispanic/Latino),Good,Moderate,Slight,Moderate,Good,Always,Rarely,Never,Very useful,Slightly useful,Not at all useful,Very useful,Extremely useful,NA,NA,civilities once in evening of could hate the she to that let complying a was but year believed you in since of and it herself an,NA,NA
62,Female,Undergraduate student,No,White (Non-Hispanic/Latino),Slight,Good,Slight,Good,Moderate,Rarely,Never,Sometimes,Slightly useful,Extremely useful,Extremely useful,Somewhat useful,Extremely useful,NA,NA,NA,NA,NA
63,Female,Undergraduate student,No,White (Non-Hispanic/Latino),Moderate,Good,Minimal,Moderate,Extensive,Sometimes,Never,Frequently,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,NA,NA,NA,NA,NA
64,Female,Undergraduate student,No,White (Non-Hispanic/Latino),Slight,Moderate,Slight,Moderate,Extensive,Never,Never,Rarely,Somewhat useful,Somewhat useful,Very useful,Extremely useful,Extremely useful,NA,NA,NA,NA,NA
65,Female,Undergraduate student,No,Black,Moderate,Extensive,Slight,Extensive,Extensive,Frequently,Never,Sometimes,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,NA,NA,NA,NA,NA
66,Female,Postdoc,No,Asian,Moderate,Moderate,Minimal,Moderate,Extensive,Always,Rarely,Rarely,Slightly useful,Somewhat useful,Very useful,Extremely useful,Very useful,NA,NA,NA,NA,NA
67,Male,Graduate student,Prefer not to disclose,Asian,Good,Good,Minimal,Extensive,Good,Always,Rarely,Frequently,Somewhat useful,Slightly useful,Extremely useful,Slightly useful,Very useful,NA,NA,NA,NA,NA
68,Male,Undergraduate student,No,Asian,Good,Extensive,Minimal,Slight,Extensive,Frequently,Never,Frequently,Somewhat useful,Extremely useful,Very useful,Somewhat useful,Extremely useful,NA,NA,NA,NA,NA
69,Female,Graduate student,No,Black,Moderate,Minimal,Minimal,Minimal,Minimal,Sometimes,Never,Frequently,Very useful,Somewhat useful,Extremely useful,Extremely useful,Extremely useful,NA,NA,NA,NA,NA
70,Female,Graduate student,No,White (Non-Hispanic/Latino),Extensive,Extensive,Moderate,Moderate,Good,Always,Rarely,Always,Extremely useful,Somewhat useful,Very useful,Very useful,Extremely useful,NA,NA,NA,NA,NA
71,Male,Graduate student,No,Asian,Good,Good,Slight,Minimal,Extensive,Frequently,Rarely,Frequently,Very useful,Slightly useful,Extremely useful,Very useful,Extremely useful,NA,NA,NA,NA,NA
72,Female,Graduate student,No,Hispanic/Latino,Extensive,Good,Slight,Moderate,Moderate,Sometimes,Never,Always,Somewhat useful,Very useful,Very useful,Not at all useful,Somewhat useful,NA,NA,NA,you brother miss and my to figure her the thought seemed extraordinary with party is by in for which to their cannot place never room overheard any her both such any,NA
73,Male,Graduate student,No,Asian,Slight,Extensive,Slight,Moderate,Moderate,Always,Never,Frequently,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Very useful,NA,NA,NA,NA,NA
74,Female,Graduate student,No,Prefer not to specify,Moderate,Good,Extensive,Good,Moderate,Rarely,Never,Frequently,Very useful,Slightly useful,Slightly useful,Somewhat useful,Very useful,NA,NA,NA,NA,NA
75,Male,Postdoc,No,White (Non-Hispanic/Latino),Good,Moderate,Moderate,Extensive,Good,Sometimes,Rarely,Never,Somewhat useful,Somewhat useful,Slightly useful,Very useful,Somewhat useful,NA,NA,NA,NA,NA
76,Male,Undergraduate student,No,Asian,Good,Slight,Minimal,Slight,Slight,Always,Frequently,Frequently,Very useful,Very useful,Not at all useful,Very useful,Somewhat useful,NA,NA,no sight have never by the way steady room more a proud so was been doubt as to to answer sooner the,NA,NA
77,Female,Graduate student,No,White (Non-Hispanic/Latino),Good,Extensive,Minimal,Good,Moderate,Frequently,Never,Sometimes,Very useful,Very useful,Somewhat useful,Slightly useful,Somewhat useful,NA,NA,NA,NA,NA
78,Female,Graduate student,No,White (Non-Hispanic/Latino),Minimal,Moderate,Slight,Good,Extensive,Frequently,Never,Sometimes,Slightly useful,Slightly useful,Very useful,Not at all useful,Somewhat useful,NA,NA,NA,with assisted never his you to which and usual as not your so our was see be neither gone she said to horseback communication when are,NA
79,Male,Postdoc,No,Asian,Moderate,Extensive,Minimal,Extensive,Moderate,Always,Frequently,Frequently,Somewhat useful,Not at all useful,Slightly useful,Slightly useful,Somewhat useful,NA,understand the caroline his of settled to a her of she with in he deal the to you the while and be,NA,NA,NA
80,Male,Postdoc,No,White (Non-Hispanic/Latino),Moderate,Good,Extensive,Moderate,Moderate,Frequently,Never,Frequently,Not at all useful,Somewhat useful,Very useful,Slightly useful,Somewhat useful,which answer own but credit the since he power have up down length companion you north which tease to of means she as spirits he he life might in entailed otherwise you,NA,NA,NA,NA
81,Female,Graduate student,No,Hispanic/Latino,Good,Good,Slight,Good,Moderate,Frequently,Never,Sometimes,Slightly useful,Not at all useful,Very useful,Extremely useful,Somewhat useful,NA,a no utter when very half had caused disgusted her do blame minutes might after do which wife was,NA,NA,NA
82,Female,Undergraduate student,No,White (Non-Hispanic/Latino),Minimal,Good,Minimal,Slight,Extensive,Always,Never,Frequently,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,NA,NA,NA,NA,NA
83,Female,Postdoc,No,White (Non-Hispanic/Latino),Slight,Moderate,Minimal,Good,Good,Always,Never,Always,Very useful,Not at all useful,Very useful,Very useful,Extremely useful,NA,that of being 49 wickham why thought for and her draw of strength away mistaken loveliness it all indeed propriety sister be the confess his one what a his be family you gardiner's,NA,NA,NA
84,Male,Postdoc,No,White (Non-Hispanic/Latino),Extensive,Moderate,Minimal,Extensive,Extensive,Sometimes,Never,Frequently,Somewhat useful,Somewhat useful,Very useful,Very useful,Extremely useful,NA,NA,NA,NA,NA
85,Female,Undergraduate student,No,Black,Moderate,Slight,Good,Minimal,Extensive,Never,Rarely,Always,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Extremely useful,NA,NA,NA,NA,NA
86,Male,Graduate student,No,White (Non-Hispanic/Latino),Moderate,Slight,Extensive,Good,Extensive,Rarely,Never,Never,Very useful,Somewhat useful,Very useful,Somewhat useful,Extremely useful,NA,NA,NA,NA,NA
87,Male,Postdoc,No,White (Non-Hispanic/Latino),Moderate,Moderate,Extensive,Good,Good,Always,Always,Frequently,Slightly useful,Somewhat useful,Extremely useful,Very useful,Extremely useful,NA,NA,NA,NA,NA
88,Female,Undergraduate student,No,Hispanic/Latino,Slight,Good,Slight,Good,Good,Always,Never,Always,Not at all useful,Extremely useful,Extremely useful,Not at all useful,Somewhat useful,he too to the fight have whatever be the _his_ will dinners fervently friendly said too _that_ had to after,NA,NA,the and directly explained as in an had unless after by would did made surely unkindness in the to common are known by hear absence,NA
89,Male,Graduate student,No,Black,Moderate,Slight,Minimal,Good,Good,Sometimes,Never,Rarely,Very useful,Very useful,Very useful,Slightly useful,Somewhat useful,NA,NA,NA,NA,NA
90,Female,Undergraduate student,Prefer not to disclose,White (Non-Hispanic/Latino),Moderate,Moderate,Minimal,Good,Good,Never,Never,Sometimes,Somewhat useful,Very useful,Very useful,Extremely useful,Somewhat useful,NA,NA,NA,NA,NA
91,Male,Undergraduate student,Prefer not to disclose,White (Non-Hispanic/Latino),Minimal,Moderate,Slight,Extensive,Extensive,Sometimes,Always,Rarely,Somewhat useful,Somewhat useful,Not at all useful,Not at all useful,Not at all useful,NA,NA,as advantage bingley to to from to and attention loss gained room on kinds the a,so elizabeth's up existing she all his her who answer glad you command is the above constant could eldest with in written enough she not of his or rejoice charlotte to a town passing i,hope not and conjecture it again rooms their darcy being of adapted my it going that same se'nnight know aware who too were to cases day dreaded pleasure the what
92,Female,Undergraduate student,No,Asian,Moderate,Extensive,Minimal,Extensive,Good,Always,Never,Always,Very useful,Slightly useful,Very useful,Extremely useful,Extremely useful,NA,NA,NA,NA,NA
93,Male,Postdoc,No,Hispanic/Latino,Moderate,Slight,Minimal,Good,Extensive,Frequently,Rarely,Always,Very useful,Slightly useful,Very useful,Slightly useful,Extremely useful,NA,NA,NA,NA,NA
94,Female,Undergraduate student,No,White (Non-Hispanic/Latino),Moderate,Extensive,Slight,Extensive,Good,Always,Sometimes,Always,Slightly useful,Somewhat useful,Very useful,Slightly useful,Extremely useful,NA,NA,NA,NA,NA
95,Female,Faculty,No,White (Non-Hispanic/Latino),Minimal,Good,Extensive,Good,Extensive,Never,Never,Never,Not at all useful,Somewhat useful,Not at all useful,Not at all useful,Extremely useful,often dispatched he the supposed the formal would he thanked to must most daughter in that,NA,to all full to entreaties are short talk entrance the this with you however postscript her amuse to atoned breeding children with in commission come left were without the he right make her voice had,an clothes and in and i bestowed imparted which listening w had them her i coming features visit do friendly always,NA
96,Male,Undergraduate student,No,Asian,Good,Good,Extensive,Good,Minimal,Rarely,Frequently,Always,Slightly useful,Extremely useful,Extremely useful,Slightly useful,Very useful,NA,NA,NA,NA,NA
97,Male,Graduate student,No,White (Non-Hispanic/Latino),Good,Moderate,Minimal,Extensive,Extensive,Always,Never,Sometimes,Slightly useful,Very useful,Very useful,Extremely useful,Very useful,NA,NA,NA,NA,NA
98,Male,Graduate student,No,Asian,Good,Moderate,Minimal,Moderate,Moderate,Always,Never,Never,Somewhat useful,Extremely useful,Slightly useful,Slightly useful,Somewhat useful,NA,NA,NA,NA,NA
99,Male,Faculty,No,Hispanic/Latino,Extensive,Moderate,Moderate,Extensive,Good,Frequently,Never,Always,Somewhat useful,Very useful,Very useful,Somewhat useful,Extremely useful,NA,NA,NA,NA,NA
100,Female,Undergraduate student,No,Black,Good,Moderate,Minimal,Extensive,Moderate,Always,Never,Sometimes,Slightly useful,Somewhat useful,Very useful,Very useful,Very useful,NA,NA,NA,NA,NA
